Name,Ranking,Height,Plays,Age,Birthplace,Current Ranking,Singles Titles YTD,Prize Money YTD,YTD Singles Wins,YTD Singles Losses,Career High,Career Singles Titles,Career Prize Money,Career Singles Wins,Career Singles Losses,Instagram
Iga Swiatek,1,1.76m,Right-Handed,21,"Warsaw, Poland",1,1,"$1,361,428.00",17,5,1,12,"$16,096,505.00",230,60,https://www.instagram.com/iga.swiatek/
Aryna Sabalenka,2,1.82m,Right-Handed,24,"Minsk, Belarus",2,2,"$3,118,046.00",20,3,2,12,"$15,292,956.00",325,163,https://www.instagram.com/sabalenka_aryna/
Jessica Pegula,3,1.70m,Right-Handed,29,"Buffalo, NY, USA",3,0,"$2,198,253.00",22,6,3,2,"$8,613,609.00",358,220,https://www.instagram.com/jpegula/
Caroline Garcia,4,1.77m,Right-Handed,29,"Saint-Germain-en-Laye, France",4,0,"$749,221.00",17,8,4,11,"$15,813,362.00",428,321,https://www.instagram.com/carogarcia/
Ons Jabeur,5,1.67m,Right-Handed,28,"Ksar El Hellar, Tunisia",5,0,"$250,091.00",4,4,2,3,"$9,434,834.00",397,219,https://www.instagram.com/onsjabeur
Coco Gauff,6,1.75m,Right-Handed,19,"Delray Beach, Fl, USA",6,1,"$1,006,379.00",15,5,4,3,"$6,556,470.00",139,71,https://www.instagram.com/cocogauff/
Elena Rybakina,7,1.84m,Right-Handed,23,"Moscow, Russia",7,1,"$3,178,819.00",21,5,7,4,"$9,539,777.00",263,122,No link available
Daria Kasatkina,8,1.70m,Right-Handed,25,"Togliatty, Russia",8,0,"$308,764.00",5,8,8,6,"$9,383,048.00",310,177,https://www.instagram.com/kasatkina/
Maria Sakkari,9,1.72m,Right-Handed,27,"Athens, Greece",9,0,"$1,005,872.00",16,8,3,1,"$9,057,900.00",421,271,https://www.instagram.com/mariasakkari/
Petra Kvitova,10,1.82m,Left-Handed,33,"Bilovec, Czech Republic",10,1,"$1,801,273.00",17,5,2,30,"$36,564,924.00",620,280,https://www.instagram.com/petra.kvitova/
Belinda Bencic,11,1.75m,Right-Handed,26,"Flawil, Switzerland",11,2,"$805,460.00",16,5,4,7,"$11,425,864.00",369,195,https://www.instagram.com/belindabencic/
Barbora Krejcikova,12,1.78m,Right-Handed,27,"Brno, Czech Republic",12,1,"$1,377,461.00",15,6,2,6,"$10,131,535.00",352,194,https://www.instagram.com/bkrejcikova/
Veronika Kudermetova,13,1.75m,Right-Handed,25,"Kazan,Russia",13,0,"$444,740.00",10,7,9,1,"$5,362,826.00",320,211,https://www.instagram.com/v.kudermetova/
Beatriz Haddad Maia,14,1.85m,Left-Handed,26,"Sao Paulo, Brazil",14,0,"$511,758.00",11,7,12,2,"$2,996,014.00",404,201,https://www.instagram.com/biahaddadmaia/
Liudmila Samsonova,15,1.82m,Right-Handed,24,"Olenegorsk, Russia",15,0,"$430,742.00",8,8,12,4,"$2,558,502.00",253,156,https://www.instagram.com/lyuda_samsonova_
Karolina Pliskova,16,1.86m,Right-Handed,31,"Louny, Czech Republic",16,0,"$645,997.00",16,7,1,16,"$24,940,592.00",615,344,https://www.instagram.com/karolinapliskova/
Ekaterina Alexandrova,17,1.75m,Right-Handed,28,"Chelyabinsk, Russia",17,0,"$446,027.00",7,6,16,3,"$4,651,767.00",367,223,https://www.instagram.com/ekaterina_alexandrova94/
Victoria Azarenka,18,1.83m,Right-Handed,33,"Minsk, Belarus",18,0,"$803,982.00",11,7,1,21,"$35,704,305.00",587,233,No link available
Magda Linette,19,1.71m,Right-Handed,31,"Poznan, Poland",19,0,"$1,037,246.00",13,8,19,2,"$5,189,228.00",437,328,No link available
Martina Trevisan,20,1.60m,Left-Handed,29,"Florence, Italy",20,0,"$622,573.00",7,11,20,1,"$2,956,968.00",273,173,https://www.instagram.com/martitrevi/
Jelena Ostapenko,21,1.77m,Right-Handed,25,"Riga, Latvia",21,0,"$733,989.00",12,8,5,5,"$12,509,307.00",317,195,No link available
Madison Keys,22,1.78m,Right-Handed,28,"Rock Island, IL, USA",22,0,"$817,195.00",14,5,7,6,"$15,777,607.00",341,197,https://www.instagram.com/madisonkeys/
Donna Vekic,23,1.79m,Right-Handed,26,"Osijek, Croatia",23,1,"$654,467.00",16,4,19,4,"$6,191,457.00",329,242,https://www.instagram.com/donnavekic/
Qinwen Zheng,24,1.78m,Right-Handed,20,"Shiyan, Hubei Province, China",24,0,"$294,443.00",11,6,23,0,"$1,352,849.00",149,63,No link available
Anastasia Potapova,25,1.75m,Right-Handed,22,"Saratov, Russia",25,1,"$423,369.00",15,8,25,2,"$2,325,226.00",174,120,https://www.instagram.com/anapotapovaa
Simona Halep,26,1.68m,Right-Handed,31,"Constanta, Romania",26,0,$0.00,0,0,1,24,"$40,203,437.00",579,238,https://www.instagram.com/simonahalep/
Bianca Andreescu,27,1.70m,Right-Handed,22,"Mississauga, Ontario, Canada",27,0,"$313,681.00",9,7,4,3,"$8,511,144.00",183,82,https://www.instagram.com/biancaandreescu_/
Shuai Zhang,28,1.77m,Right-Handed,34,"Tianjin, China",28,0,"$345,747.00",4,8,22,3,"$9,656,767.00",551,401,No link available
Elise Mertens,29,1.79m,Right-Handed,27,"Leuven, Belgium",29,0,"$512,236.00",13,8,12,7,"$11,453,879.00",398,223,https://www.instagram.com/mertenselise/
Anhelina Kalinina,30,1.80m,Right-Handed,26,"Nova Kakhovka, Ukraine",30,0,"$351,528.00",10,8,28,0,"$2,181,585.00",327,175,No link available
Jil Teichmann,31,1.70m,Left-Handed,25,"Barcelona, Spain",31,0,"$360,390.00",9,8,21,2,"$3,224,421.00",267,194,No link available
Ajla Tomljanovic,32,1.80m,Right-Handed,29,"Zagreb, Croatia",32,0,$0.00,0,0,32,0,"$5,650,758.00",373,280,https://www.instagram.com/ajlatom/
Paula Badosa,33,1.80m,Right-Handed,25,"New York City, USA",33,0,"$302,366.00",6,4,2,3,"$5,523,582.00",312,176,https://www.instagram.com/paulabadosa/
Petra Martic,34,1.81m,Right-Handed,32,"Split, Croatia",34,0,"$329,653.00",8,9,14,2,"$7,579,671.00",408,293,https://www.instagram.com/thepetramartic/
Amanda Anisimova,35,1.80m,Right-Handed,21,"Freehold, NJ, USA",35,0,"$159,288.00",3,7,21,2,"$4,087,520.00",140,84,https://www.instagram.com/amandaanisimova/
Marie Bouzkova,36,1.80m,Right-Handed,24,"Prague, Czech Republic",36,0,"$308,124.00",6,9,24,1,"$3,156,995.00",309,174,No link available
Irina-Camelia Begu,37,1.81m,Right-Handed,32,"Bucharest, Romania",37,0,"$261,641.00",5,6,22,5,"$7,297,500.00",467,330,https://www.instagram.com/irina_camy15
Bernarda Pera,38,1.76m,Left-Handed,28,"Zadar, Croatia",38,0,"$333,082.00",7,8,37,2,"$3,003,650.00",352,221,No link available
Marta Kostyuk,39,1.75m,Right-Handed,20,"Kiev, Ukraine",39,1,"$387,466.00",16,8,38,1,"$2,477,816.00",170,94,https://www.instagram.com/kostyukmarta
Danielle Collins,40,1.78m,Right-Handed,29,"St. Petersburg, FL, USA",40,0,"$338,975.00",9,9,7,2,"$6,184,419.00",215,130,https://www.instagram.com/danimalcollins/
Sorana Cirstea,41,1.76m,Right-Handed,32,"Bucharest, Romania",41,0,"$655,988.00",13,8,21,2,"$8,131,495.00",512,387,No link available
Lin Zhu,42,1.73m,Right-Handed,29,"Wuxi, China",42,1,"$354,859.00",13,7,33,1,"$2,222,424.00",379,252,No link available
Camila Giorgi,43,1.68m,Right-Handed,31,"Macerata, Italy",43,1,"$265,747.00",10,7,26,4,"$5,844,342.00",415,302,https://www.instagram.com/camila_giorgi_official
Shelby Rogers,44,1.75m,Right-Handed,30,"Mount Pleasant, SC, USA",44,0,"$234,570.00",11,8,30,0,"$5,177,057.00",299,246,https://www.instagram.com/shelbsrogers
Elisabetta Cocciaretto,45,1.66m,Right-Handed,22,"Ancona, Italy",45,0,"$175,852.00",13,7,45,0,"$923,944.00",144,78,No link available
Varvara Gracheva,46,1.78m,Right-Handed,22,"Moscow, Russia",46,0,"$385,638.00",21,11,46,0,"$1,901,248.00",220,144,No link available
Yulia Putintseva,47,1.63m,Right-Handed,28,"Moscow, Russia",47,0,"$234,670.00",7,9,27,2,"$6,409,961.00",365,286,https://www.instagram.com/yulia_putintseva/
